,0,1,2
0,0.71,1.16,1.32
1,0.0,0.0,0.91
2,0.69,0.88,1.21
3,0.0,0.84,2.8
4,0.0,0.3,1.74
5,0.87,0.16,1.07
6,0.0,2.51,0.0
7,1.69,0.26,0.98
8,1.6,0.84,1.16
9,0.44,0.7,1.11
10,1.73,0.32,1.04
11,1.02,0.68,1.65
12,1.63,0.85,1.17
13,0.76,1.16,1.44
14,1.45,0.65,0.0
15,1.05,1.27,1.59
16,1.99,0.22,0.7
17,0.82,1.67,0.0
18,1.49,0.77,1.21
19,0.0,2.36,0.0
20,1.1,0.47,1.06
21,0.0,2.37,0.0
22,1.34,1.26,0.0
23,1.39,0.65,1.26
24,1.16,1.08,1.43
25,2.23,0.43,0.99
26,1.93,0.52,0.03
27,1.34,0.61,1.07
28,0.22,1.88,0.0
29,1.78,0.71,1.11
30,1.47,0.75,1.19
31,0.49,0.91,1.03
32,2.05,0.65,0.08
33,0.76,1.33,1.47
34,1.2,0.65,1.33
35,0.72,0.85,1.35
36,0.98,1.69,0.0
37,1.83,0.85,1.33
38,1.56,0.82,1.13
39,1.15,1.42,0.0
40,1.89,0.46,0.0
41,1.72,0.75,0.0
42,2.18,0.2,0.55
43,1.27,1.54,0.0
44,1.03,0.7,1.68
45,0.61,1.14,1.12
46,0.88,0.79,1.32
47,0.86,1.14,1.65
48,1.37,0.64,1.33
49,0.3,0.26,1.26
